startphrase,ending1,ending2,labels,ROBERTA,pred is correct
The girl was as down-to-earth as a Michelin-starred canape,The girl was not down-to-earth at all.,The girl was very down-to-earth.,0,0,1
The girl was as down-to-earth as eggs and potatoes,The girl was not down-to-earth at all.,The girl was very down-to-earth.,1,1,1
The girl's room was as messy as pig slops,The girl's room was a total mess.,The girl's room was very clean.,0,0,1
The girl's room was as messy as a housekeeper,The girl's room was a total mess.,The girl's room was very clean.,1,1,1
The view as as clear as day,The view was very clear.,The view as obstructed and not clear.,0,0,1
The view as as clear as mud,The view was very clear.,The view as obstructed and not clear.,1,1,1
World peace is a perfect snowflake that melts before it reaches you,World peace is an unattainable ideal,"World peace is a good, if unexpected, thing",0,0,1
World peace is a family dinner where no one fights,World peace is an unattainable ideal,"World peace is a good, if unexpected, thing",1,1,1
Her greeting had the warmth of a cozy wood burning fire.,Her greeting was affectionate and genuine.,Her greeting was indifferent and fake.,0,0,1
Her greeting had the warmth of a snuffed out candle.,Her greeting was affectionate and genuine.,Her greeting was indifferent and fake.,1,1,1
The test was like a litigation.,The test was hard.,The test was easy.,0,0,1
The test was like a preschool lesson.,The test was hard.,The test was easy.,1,1,1
The view was a sparkly diamond,The view was beautiful,The view was ugly,0,0,1
The view was an witch's wart,The view was beautiful,The view was ugly,1,1,1
He's as rich as MC Hammer in the '80s,He has a lot of money,He does not have a lot of money,0,0,1
He's as rich as MC Hammer in the '90s,He has a lot of money,He does not have a lot of money,1,0,0
The conversation has me sweating like a snowman in the summer,The conversation is intense,The conversation is boring,0,0,1
The conversation has me feeling like I just ate the whole Thanksgiving turkey,The conversation is intense,The conversation is boring,1,0,0
The football player's effort was a hurricane,The football player put forth a ton of effort.,The football player put forth no effort.,0,0,1
The football player's effort was a tortoise,The football player put forth a ton of effort.,The football player put forth no effort.,1,1,1
The cat was as healthy as a newborn,the cat was in good shape,the cat was in bad shape,0,0,1
The cat was as healthy as a cancer patient,the cat was in good shape,the cat was in bad shape,1,1,1
Her waist has the width of a toothpick,Her waist is really skinny.,Her waist is really wide.,0,0,1
Her waist has the width of a blimp,Her waist is really skinny.,Her waist is really wide.,1,1,1
The soccer player passed the ball to his teammate like a magician pulling a rabbit out of a hat.,The pass was surprising,The pass was very fast and direct,0,0,1
The soccer player passed the ball to his teammate like the bullet train in Japan.,The pass was surprising,The pass was very fast and direct,1,1,1
The girl's dress pattern was as uniform as a potluck,The girl's dress pattern was highly varied.,The girl's dress pattern was highly uniform.,0,0,1
The girl's dress pattern was as uniform as a checkerboard,The girl's dress pattern was highly varied.,The girl's dress pattern was highly uniform.,1,1,1
The illusion has the convincibility of walking into a house and not seeing a ghost,The illusion is quite convincing,The illusion is not convincing at all,0,1,0
The illusion has the convincibility of a flat earth conspiracy,The illusion is quite convincing,The illusion is not convincing at all,1,0,0
The dog has the snores of a beluga whale after eating two dozen Thanksgiving dinners,The dog snores loudly,The dog hardly makes a sound,0,0,1
