startphrase,completion,valid,,,
"His temper was a marshmallow.That is to say,",it was soft and fluffy and easy to melt,2,,0,wrong
"His temper was a marshmallow.That is to say,",it was soft and fluffy,2,,1,right
"His temper was a marshmallow.That is to say,",until he met me,0,,-1,metaphor invalid (can be taken literally)
"His temper was a marshmallow.That is to say,"," he was very easily angered, and once he was, he was very hard to cool down",0,,2,taken literally
"He has the belly of an unblown balloon.That is to say,",he is fat,0,,,
"He has the belly of an unblown balloon.That is to say,",he is fat,0,,,
"He has the belly of an unblown balloon.That is to say,",he is a big man,0,,,
"He has the belly of an unblown balloon.That is to say,",he is a fat man,0,,,
"The razor has the cutting power of a cartoon cat's claws.That is to say,",it's not very sharp,0,,,
"The razor has the cutting power of a cartoon cat's claws.That is to say,",it cuts hair,1,,,
"The razor has the cutting power of a cartoon cat's claws.That is to say,",it doesn't,0,,,
"The razor has the cutting power of a cartoon cat's claws.That is to say,"," it cuts, but not very well",0,,,
"The sadness of her death was a planet.That is to say,"," the sadness of her death was a planet, a planet of sadness",2,,,
"The sadness of her death was a planet.That is to say,",it was a force of nature,0,,,
"The sadness of her death was a planet.That is to say,"," she was a planet, and the sadness was a planet",2,,,
"The sadness of her death was a planet.That is to say,",it was a ball of sadness,2,,,
"The villain is as beautiful as the Joker.That is to say,"," he is a man with a disfigured face, but he is not a character with a face that is ugly to the point of being scary",1,,,
"The villain is as beautiful as the Joker.That is to say,",he's not,1,,,
"The villain is as beautiful as the Joker.That is to say,",he is a freak,0,,,
"The villain is as beautiful as the Joker.That is to say,",he is the most beautiful of all the villains in the DC universe,0,,,
"The child has the energy of a sloth.That is to say,",he is lazy,1,,,
"The child has the energy of a sloth.That is to say,",he is lazy,1,,0,wrong
"The child has the energy of a sloth.That is to say,",she is a slow mover,1,,1,right
"The child has the energy of a sloth.That is to say,",he is a sloth,2,,-1,metaphor invalid (can be taken literally)
"The fortress appears as a pebble.That is to say,"," it is a pebble, a stone, a piece of rock, a boulder, a lump of earth",2,,2,taken literally
"The fortress appears as a pebble.That is to say,",it is not visible to the naked eye,1,,,
"The fortress appears as a pebble.That is to say,",it is a pebble that is a fortress,2,,,
"The fortress appears as a pebble.That is to say,",it is a pebble that is the size of a fortress,0,,,
"The girl moved as fast as a cheetah.That is to say,",she moved faster than any other girl I'd ever seen,1,,,
"The girl moved as fast as a cheetah.That is to say,",she moved as fast as a cheetah would if it were a human girl,2,,,
"The girl moved as fast as a cheetah.That is to say,",faster than a human,1,,,
"The girl moved as fast as a cheetah.That is to say,",she moved fast,1,,,
"The event planning was met with clear skies.That is to say,",the weather was perfect,-1,,,
"The event planning was met with clear skies.That is to say,",the weather was perfect,-1,,,
"The event planning was met with clear skies.That is to say,",the planners had to work with the weather and the weather was not cooperating,-1,,,
"The event planning was met with clear skies.That is to say,",the weather was just right,-1,,,
"School is a prison.That is to say,",school is a prison for the mind,1,,,
"School is a prison.That is to say,"," it is a place of confinement, where the inmates are expected to follow the rules of the institution",2,,,
"School is a prison.That is to say,"," it is a place where children are forced to spend long periods of time, where they are forced to do things they would not otherwise do, where they",1,,,
"School is a prison.That is to say,"," it is a place where you are forced to be with people you don't want to be with, do things you don't want to do, and",1,,,
"The room felt like a furnace.That is to say,",it was a normal room,0,,,
"The room felt like a furnace.That is to say,",it was a bit hot,1,,,
"The room felt like a furnace.That is to say,"," the temperature was normal, but the atmosphere was stifling",1,,,
"The room felt like a furnace.That is to say,",it felt like a furnace to me,2,,0,wrong
"Vanity is the tailwind of reason.That is to say,"," when you are doing something that is good for you, you feel good about it, and you feel good about doing it",0,,1,right
"Vanity is the tailwind of reason.That is to say,"," the more you have of it, the more you'll have of reason",1,,-1,metaphor invalid (can be taken literally)
"Vanity is the tailwind of reason.That is to say,"," the more you are aware of your own flaws, the less you are likely to be swayed by them",0,,2,taken literally
"Vanity is the tailwind of reason.That is to say,"," the more reason we have, the more we want",0,,,
"This guy has the charisma of a ball of clay.That is to say,",he has no charisma,1,,,
