startphrase,ending1,ending2,labels,valid_annot1,valid_annot2,valid_annot3,valid_2+,valid_all3
the ocean waves forced their way unto the beach shore and reached out to me with an invitation to partake in their dance and mystery,The ocean waves are soothing and healing,The ocean waves are dangerous and can kill you,0,1,1,1,1,1
the ocean waves forced their way unto the beach shore and lashed at me with loud crashing sounds and intimidating rushes of foamy water,The ocean waves are soothing and healing,The ocean waves are dangerous and can kill you,1,1,1,1,1,1
the teach said that the student had the brain of a gnat,The student is dumb,The student is smart,0,1,1,1,1,1
the teach said that the student had the brain of a rocket scientist,The student is dumb,The student is smart,1,1,1,1,1,1
the brain is an air traffic controller,conscious decision making,unconconscious decision making,0,0,0,0,0,0
the brain is a driverless car,conscious decision making,unconconscious decision making,1,0,0,0,0,0
i have the musical ability of a chipmunk,My music sounds scratchy and random,My music is soothing and melodious,0,1,1,1,1,1
i have the musical ability of a songbird,My music sounds scratchy and random,My music is soothing and melodious,1,1,1,1,1,1
the brain is a computer,"The brain is intelligent, beautiful, complex, and profound","The brain is simple, basic, not capable of rational thought.",0,0,1,1,1,0
the brain is jelly,"The brain is intelligent, beautiful, complex, and profound","The brain is simple, basic, not capable of rational thought.",1,0,1,1,1,0
the beach was as hot as a desert,The beach was very warm.,The beach was very cold.,0,1,1,1,1,1
the beach was as hot as a iceberg,The beach was very warm.,The beach was very cold.,1,1,1,1,1,1
john's new computer has the same amount of buttons as the startrek enterprise.,"John's new computer has a large number of buttons, which the Startrek enterprise is known for being that it is a fitctional spaceship.","Family Fued has one buzzer for each contestant team, so I am insinuating that John's new computer only has a few buttons a la the Ipad or a Chromebook.",0,0,0,0,0,0
"john's new computer has the same amount of buttons as the buzzer on family fued,","John's new computer has a large number of buttons, which the Startrek enterprise is known for being that it is a fitctional spaceship.","Family Fued has one buzzer for each contestant team, so I am insinuating that John's new computer only has a few buttons a la the Ipad or a Chromebook.",1,0,0,0,0,0
life is likened as. puzzle,life is complicated,life is easy,0,0,1,0,0,0
life is likened as. a race,life is complicated,life is easy,1,0,0,0,0,0
the brain is a spider web,brain is hypersensitive and connects many things.,brain take one input and gives multiple output.,0,1,1,1,1,1
the brain is a prism,brain is hypersensitive and connects many things.,brain take one input and gives multiple output.,1,1,1,1,1,1
the wind approached me and spoke to me through the rustling of the tree leaves and whispered in my ear through the whistling of the branches,"The wind is gentle, assuring and relaxing","The wind is intense, threatening and destructive",0,1,1,1,1,1
the wind approached me and raised it's voice at me with sudden bursts of speed that stripped the leaves from the trees and yelled at me through the crackling and breaking for the branches,"The wind is gentle, assuring and relaxing","The wind is intense, threatening and destructive",1,1,1,1,1,1
a computer can be one's best friend,Computers can be a great asset,Computers can be a great detriment,0,1,1,1,1,1
a computer can be one's bitter enemy,Computers can be a great asset,Computers can be a great detriment,1,1,1,1,1,1
a computer is an obedient dog,follows instructions,refuses to follow instructions,0,1,1,1,1,1
a computer is a toddler,follows instructions,refuses to follow instructions,1,1,1,1,1,1
his brain is like a computer,His brain is fast and concise.,His brain is slow and limbering.,0,1,1,1,1,1
his brain is like a see-saw,His brain is fast and concise.,His brain is slow and limbering.,1,1,0,1,1,0
the old woman was a rocket.,"The old woman was feisty, fiery, energetic, kinetic.",The old woman was still and unmovable.,0,1,1,1,1,1
the old woman was a mountain,"The old woman was feisty, fiery, energetic, kinetic.",The old woman was still and unmovable.,1,1,1,1,1,1
the family was as friendly as a pack of wolves,The family was very mean.,The family was very friendly.,0,1,1,1,1,1
the family was as friendly as a greeter at disneyland,The family was very mean.,The family was very friendly.,1,1,1,1,1,1
lebron james has the stamina of the energizer bunny when the game is on the line.,"The energizer bunny is known by it's slogan ""it keeps on going and going"" so I am saying that LeBron James has a lot of stamina in the 4th quarter or overtime of close games. When other players start to look visibly fatigued, he always seems to have an extra gear.","After lunch and a long morning, many pre-schoolers begin to get sleepy and will need nap time, so I am saying that LeBron James does not have much stamina at the moment (He's tired). So he needs a substitution to rest.",0,0,0,0,0,0
lebron james has the stamina of a pre-schooler before nap time right now. coach get that man a nap!,"The energizer bunny is known by it's slogan ""it keeps on going and going"" so I am saying that LeBron James has a lot of stamina in the 4th quarter or overtime of close games. When other players start to look visibly fatigued, he always seems to have an extra gear.","After lunch and a long morning, many pre-schoolers begin to get sleepy and will need nap time, so I am saying that LeBron James does not have much stamina at the moment (He's tired). So he needs a substitution to rest.",1,0,0,0,0,0
true love is asolution love is like medicine,Love heals,Love destroys,0,0,0,0,0,0
true love is asolution love is toxic,Love heals,Love destroys,1,0,0,0,0,0
the detective listened to her tales with a wooden face,its comparing the face of detective when listening to a wooden face.,detective would not express their emotions,0,0,0,0,0,0
the detective listened to her tales with a unexpressed face.,its comparing the face of detective when listening to a wooden face.,detective would not express their emotions,1,0,0,0,0,0
the sun opened it's doors in the morning and with it's long arms brightened my surroundings with slowly intensifying light showing the colors and the shapes of life while warming my skin and being,The sun's light reveals colors and shapes and is warm,The sun's light blinds our eyes and is hot and destructive,0,1,0,1,1,0
the sun opened it's doors in the morning and with it's long arms blinded me with it's intensity and burnt my sweaty skin,The sun's light reveals colors and shapes and is warm,The sun's light blinds our eyes and is hot and destructive,1,1,0,1,1,0
the book had a plot that many would find as boring as watching paint dry,The book is boring,The book is exciting,0,1,0,1,1,0
the book had a plot that many would find as exciting as a three-ring circus,The book is boring,The book is exciting,1,1,0,1,1,0
a bottle is a full gas tank,full bottle,empty bottle,0,0,0,0,0,0
a bottle is the void of space,full bottle,empty bottle,1,0,0,0,0,0
