startphrase,ending1,ending2,answer
The professor has the IQ of a virus.,The professor is stupid.,The professor is intelligent.,0
The driveway is a mirror.,The driveway is bumpy.,The driveway is smooth.,1
The plane seat area has the leg room of a tricycle.,The plane seat area is cramped.,The plane seat area is comfortable.,0
The room is as clean as a hospital,the room is spotless,the room is filthy,0
The book has the depth of a kiddie pool.,The book is boring.,The book is profound.,0
The woman's back is a ruler.,The woman's back is wavy.,The woman's back is straight.,1
He dove with all the grace of an Olympic swimmer,He dove well.,"He dove poorly, and sank as he hit the water.",0
"He was a d20 that always rolled a ""nat 20.""",He was unlucky.,He was lucky.,1
He was as slimy as a puppy,He was someone who couldn't be trusted,He was someone you could trust,1
The movie had the depth of A preschool curriculum,The movie is shallow.,The movie is thought provoking.,0
The cake is a wet sponge,The cake is moist,The cake is dry,0
The driveway is a bed of rocks.,The driveway is bumpy.,The driveway is smooth.,0
The bottle was thin like a sheet.,The bottle was thin.,The bottle wasn't thin.,0
The toothbrush has the firmness of a steel beam,The toothbrush is very firm,The toothbrush lacks firmness,0
She had the intelligence of a thousand monkeys sitting at desks and typing on typewriters.,The things she said were noisy and random,The things she said or did were methodical and calculating.,0
The cat's tail moved with the rhythm of wheat swaying in the breeze,The cat's tail was fast,The cat's tail was slow,1
The dancer landed her jump with the grace of a cat,The dancer landed her jump gracefully.,The dancer landed her jump with a thud.,0
Riding a motorcycle is as dangerous as walking down the street,Riding a motorcycle is very dangerous,Riding a motorcycle isn't any more dangerous than doing normal everyday things.,1
The girl treats her friends like Prada,The girl treasures her friends.,The girl treats her friends poorly.,0
He has the physique of a jellyfish,He's muscular and strong,He's flimsy and weak,1
She is A fragile leaf,She is weak,She is strong,0
Her love was as valuable as Dime store candy.,He cherished her love.,She was not worth much to him.,1
The wave has the sound of a whisper.,The wave is loud.,The wave is quiet.,1
World peace is a family dinner where no one fights,World peace is an unattainable ideal,"World peace is a good, if unexpected, thing",0
Riding a motorcycle is as dangerous as jumping off a cliff,Riding a motorcycle is very dangerous,Riding a motorcycle isn't any more dangerous than doing normal everyday things.,0
The painting is like a Kinkade gallery at the mall,The painting is tacky and commercial,The painting is surprisingly good,1
That cake is as moist as H20,The cake is dry,The cake is not dry,1
It's as wet as the desert,It's wet.,It's dry.,1
That judge thinks similar to a hippie,the judge is rigorous,the judge is relaxed,1
The play was as good as a elementary class' Thanksgiving play.,"The play had a depth of meaning, was both poetic and entertaining, and had the quality of something that would last.",The play was simplistic and lacked a serious artistic quality.,1
The building was as big as a mountain,The building was big,The building was small,0
His fear was that of a sailor facing down an angry ocean god,He had a lot of fear,He has no fear,0
The car was as shiny as Concrete.,The car had a lot of shine.,The car was dull.,1
The officer has the training of a newborn goldfish,The officer is well trained,The officer has little training,1
The cake is sawdust,The cake is moist,The cake is dry,1
His foot is as big as an ant,He has really big feet,He has small feet,1
The cougar had the dangerousness of a fire in a fireworks factory,The cougar is quite dangerous,The cougar isn't too dangerous,0
The office environment was as sterile as a rock band's garage,The office environment was totally dull.,The office environment was full of life.,1
The food has all the flavor of dried sugar-free oatmeal,The food has a ton of flavor,The food is pretty bland,1
