startphrase,ending1,ending2,answer,guess
Love is snow on a Christmas morning,Love is awesome,Love is terrible,1,
The butler's posture was that of a tall cypress.,The butler had poor posture.,The butler had good posture,2,
The employee was as busy as a CPA during tax season,The employee was frazzled with work.,The employee had nothing to do.,1,
The weightlifter has the strength of a dung beetle.,The weightlifter is weak.,The weightlifter is powerful.,2,
The girl was as bubbly as champagne,The girl was vivacious.,The girl was bland.,1,
The film was as impressive as the Great Pyramids,The film was very impressive.,The film wasn't impressive at all.,1,
The spa has the charm of Cary Grant.,The spa lacks amenities.,The spa is enjoyable.,2,
I'm as lively as a three year old before bedtime,I'm excited,I'm tired,1,
The man has the intelligence of a brain surgeon.,The man is stupid.,The man is smart.,2,
The album was as successful as a Bob Dylan song.,The album was very popular and achieved great success.,The album was not popular and achieved very little success.,1,
The air felt like swimming in a warm pool,the air was so freezing it hurt,the air was hot and humid,2,
The album was as successful as a failed American Idol audition.,The album was very popular and achieved great success.,The album was not popular and achieved very little success.,2,
The fireworks were as loud as gunshots,The fireworks were loud,The fireworks were quiet,1,
That job was an everyday knife in my eye.,The job was terrible.,The job was fun.,1,
The movie has the depth of of the roots of an oak tree.,The movie is epic.,The movie lacks plot.,1,
The girl's life was as dramatic as Chicago's South Side,The girl's life was bland.,The girl's life was full of drama.,2,
I'm as lively as an old man in the morning,I'm excited,I'm tired,2,
This new book is as profound as a Miltonian epic.,"The book shows psychological depth, lyrical poetry, and appeal of a classic work of literature.",The book is simplistic and amateurish.,1,dont know what Miltonian is
His heart is as light as a feather.,He is guilt free and happy,He is cold and heartless,1,
The painting is as random as a roll of dice,Anything goes; it is haphazard,It is well thought out and systematic,1,
She kept her room as clean as a middle school cafeteria during lunchtime,Her room was very messy.,Her room was very clean.,1,
The man's toe is a snake.,The man's toe is bent.,The man's toe is straight.,1,
That job was an everyday dance party.,The job was terrible.,The job was fun.,2,
After a workout he had as much energy as A wind up toy car.,He had a lot of energy.,He had very little energy.,1,
The book had the depth of a sink.,The book was boring.,The book was profound.,1,
The man has the intelligence of a frog.,The man is stupid.,The man is smart.,1,
The test was like a litigation.,The test was hard.,The test was easy.,1,
