startphrase,completion
"His temper was a marshmallow.That is to say,"," it was a marshmallow, but it was a marshmallow with a lot of heart"
"His temper was a marshmallow.That is to say,", he was not a man who could be trusted to make a decision
"His temper was a marshmallow.That is to say,", he was a man who could not be controlled
"His temper was a marshmallow.That is to say,", he was not in a hurry to leave
"He has the belly of an unblown balloon.That is to say,", he has a belly that is the size of a small child's
"He has the belly of an unblown balloon.That is to say,", he has a very large belly
"He has the belly of an unblown balloon.That is to say,"," he is a man of great strength, but not of great weight"
"He has the belly of an unblown balloon.That is to say,"," he has the belly of a snake, but he has the tail of a lion"
"The razor has the cutting power of a cartoon cat's claws.That is to say,", it's razor-like
"The razor has the cutting power of a cartoon cat's claws.That is to say,", it is a razor
"The razor has the cutting power of a cartoon cat's claws.That is to say,", it is a razor that is designed to cut through almost anything
"The razor has the cutting power of a cartoon cat's claws.That is to say,", it's razor-sharp enough to cut through a piece of paper that weighs a ton
"The sadness of her death was a planet.That is to say,", she was a planet of sorrow
"The sadness of her death was a planet.That is to say,"," she was a planet, and a planet is not a thing, it is a person"
"The sadness of her death was a planet.That is to say,", her death is an event that is a part of the universe
"The sadness of her death was a planet.That is to say,", the sadness of the death of a planet is a planet
"The villain is as beautiful as the Joker.That is to say,", the Joker is the most beautiful villain in the entire DC Universe
"The villain is as beautiful as the Joker.That is to say,", the Joker is as beautiful as the Joker
"The villain is as beautiful as the Joker.That is to say,", the Joker is a very attractive man
"The villain is as beautiful as the Joker.That is to say,", the villain is a woman
"The child has the energy of a sloth.That is to say,"," he is lazy, but he is not lazy"
"The child has the energy of a sloth.That is to say,", he is not a child but a child who is not a child
"The child has the energy of a sloth.That is to say,", he is not in the habit of sitting up and making a noise
"The child has the energy of a sloth.That is to say,", it is a sloth that is not a sloth
"The fortress appears as a pebble.That is to say,", it is a very small pebble
"The fortress appears as a pebble.That is to say,", the fortress is a pebble
"The fortress appears as a pebble.That is to say,", the fortress is not a stone
"The fortress appears as a pebble.That is to say,", this is a fortress
"The girl moved as fast as a cheetah.That is to say,"," she was as fast as a cheetah, but she was also as slow as a cheetah"
"The girl moved as fast as a cheetah.That is to say,", she was quick
"The girl moved as fast as a cheetah.That is to say,"," she was fast enough to catch her prey, but not fast enough to catch the prey"
"The girl moved as fast as a cheetah.That is to say,"," she was very fast, and was very agile"
"The event planning was met with clear skies.That is to say,"," the sky was clear, but the wind was blowing"
"The event planning was met with clear skies.That is to say,", the weather was quite good
"The event planning was met with clear skies.That is to say,", the weather was clear
"The event planning was met with clear skies.That is to say,", the event planners were not trying to make the event a success
"School is a prison.That is to say,", it is a prison for the mentally ill
"School is a prison.That is to say,", you are a prisoner in your own home
"School is a prison.That is to say,", the school is a prison
"School is a prison.That is to say,"," it is a place where the young are punished, and the older are rewarded"
"The room felt like a furnace.That is to say,", it was hot
"The room felt like a furnace.That is to say,"," it was warm, but not hot, and it was not a comfortable place to be"
"The room felt like a furnace.That is to say,", there was a lot of heat
"The room felt like a furnace.That is to say,", the temperature was so high that it felt like it was on fire
"Vanity is the tailwind of reason.That is to say,", it is the tailwind of reason in the sense that it is the tailwind of reason in the sense that it is the tailwind of reason in
