startphrase,completion
"His temper was a marshmallow.That is to say,", it was a normal enough fellow
"His temper was a marshmallow.That is to say,", it expanded under heat
"His temper was a marshmallow.That is to say,"," the meltdown was so hot, it burned off the marshmallow"
"His temper was a marshmallow.That is to say,", it took only a small amount of heat from a match to ignite it
"He has the belly of an unblown balloon.That is to say,", he is as roundabout as a barrel
"He has the belly of an unblown balloon.That is to say,", he's got a gut that's ready to blow
"He has the belly of an unblown balloon.That is to say,", he is on the point of bursting
"He has the belly of an unblown balloon.That is to say,", his belly does not test the resistance of his clothing
"The razor has the cutting power of a cartoon cat's claws.That is to say,", no cutting power
"The razor has the cutting power of a cartoon cat's claws.That is to say,", I could take on Freddy Krueger and kill him with one swipe
"The razor has the cutting power of a cartoon cat's claws.That is to say,", it's useless
"The razor has the cutting power of a cartoon cat's claws.That is to say,", it rips through hair without any effort
"The sadness of her death was a planet.That is to say,"," the gravity of Earth was drawn to the sadness of her death, like the gravity of the Moon"
"The sadness of her death was a planet.That is to say,", it is a planet that appeared in the sky of a world that took the form of a sad girl
"The sadness of her death was a planet.That is to say,", I was there
"The sadness of her death was a planet.That is to say,", it was a planet
"The villain is as beautiful as the Joker.That is to say,", the villain is a woman
"The villain is as beautiful as the Joker.That is to say,", it’s cuckoo
"The villain is as beautiful as the Joker.That is to say,", he is an ugly sonofabitch whose face is disfigured to the point where it would make a porn queen blush
"The villain is as beautiful as the Joker.That is to say,"," the Joker is ugly and the villain is beautiful (with the Joker being an exception to the rule, of course)"
